"[[2, (0, 1)]]","[1, 5]",[0.02193093 0.97806907]
"[[2, (0, 1), 5], [2, (0, 1), 1]]","[(3, 0), (3, 4), (3, 2), (1, 0), (1, 4), (1, 2)]",[0.10314193 0.08351267 0.11349627 0.20668749 0.04053002 0.45263161]
"[[2, (0, 1), 5, (1, 2)], [2, (0, 1), 5, (3, 4)], [2, (0, 1), 5, (3, 2)], [2, (0, 1), 5, (3, 0)], [2, (0, 1), 5, (1, 4)], [2, (0, 1), 5, (1, 0)]]","[2, 4]",[0.58196663 0.41803337]
"[[2, (0, 1), 5, (1, 2), 4], [2, (0, 1), 5, (1, 2), 2]]","[(0, 1), (0, 5), (4, 1), (4, 5), (2, 1), (2, 5)]",[0.02800817 0.03596271 0.20094396 0.16616829 0.33871604 0.23020082]
"[[2, (0, 1), 5, (3, 4), 4], [2, (0, 1), 5, (3, 4), 2], [2, (0, 1), 1, (3, 4), 0]]","[(0, 1), (0, 3), (0, 5), (4, 1), (4, 3), (4, 5)]",[0.06439007 0.07425528 0.12605141 0.23012634 0.21929673 0.28588016]
"[[2, (0, 1), 5, (3, 2), 4], [2, (0, 1), 5, (3, 2), 2], [2, (0, 1), 1, (3, 2), 0]]","[(0, 1), (0, 5), (4, 1), (4, 5)]",[0.0188968  0.1238204  0.42087106 0.43641174]
"[[2, (0, 1), 5, (3, 0), 4], [2, (0, 1), 1, (3, 0), 4], [2, (0, 1), 1, (3, 0), 2], [2, (0, 1), 1, (3, 0), 0], [2, (0, 1), 5, (3, 0), 2]]","[(0, 3), (0, 1), (4, 3), (4, 1)]",[0.04901419 0.03811655 0.05132138 0.86154787]
"[[2, (0, 1), 1, (3, 0)], [2, (0, 1), 1, (3, 2)], [2, (0, 1), 1, (3, 4)]]","[0, 4, 2]",[0.98546581 0.00309274 0.01144145]
"[[2, (0, 1), 5, (1, 4), 2], [2, (0, 1), 5, (1, 4), 4]]","[(0, 1), (0, 3), (0, 5), (4, 1), (4, 3), (4, 5), (2, 1), (2, 3), (2, 5)]","[0.11581166 0.06758405 0.06314881 0.13871354 0.07444578 0.12391495
 0.13588971 0.14576959 0.1347219 ]"
"[[2, (0, 1), 5, (1, 0), 2], [2, (0, 1), 5, (1, 0), 4]]","[(0, 3), (0, 1), (4, 3), (4, 1), (2, 3), (2, 1)]",[0.02376473 0.02376473 0.43701859 0.02376473 0.02376473 0.46792247]
